Group,Start,End,P/N,Description,ATA,Unit Hours,U/S Rem.,Rate U/S Rem.,U/S Rem rate UCL,Failures,Rate Fail.,Conf. Fail.,Other Fail.,No Fault,Not Reported,Not Reported %,MTBUR,MTBUR LCL,MTBUR %,MTTUR,MTBF,MTBF LCL,MTBF %,NFF Rate,NFF Rate UCL
Own Configuration,2021-10-01,2022-09-30,3214-31,BATTERY,33,875,1,1.142857143,25.12564483,0,0,0,0,0,1,100,875,0,,0,,,,,
Own Configuration,2021-09-01,2022-08-31,3214-31,BATTERY,33,637,1,1.569858713,28.87159716,0,0,0,0,0,1,100,637,0,,0,,,,,
Own Configuration,2021-12-01,2022-11-30,3214-31,BATTERY,33,1439,1,0.694927033,20.56095819,0,0,0,0,0,1,100,1439,0,,0,,,,,
Own Configuration,2021-11-01,2022-10-31,3214-31,BATTERY,33,1163,1,0.859845228,22.5139529,0,0,0,0,0,1,100,1163,0,,0,,,,,
Own Configuration,2022-06-01,2023-05-31,3214-31,BATTERY,33,3509,3,0.854944429,14.44983267,0,0,0,0,0,3,100,1170,0,,721,,,,,
Own Configuration,2022-05-01,2023-04-30,3214-31,BATTERY,33,3012,3,0.996015936,15.09492212,0,0,0,0,0,3,100,1004,0,,721,,,,,
Own Configuration,2022-08-01,2023-07-31,3214-31,BATTERY,33,4713,2,0.424358158,1.785885671,0,0,0,0,0,2,100,2357,0,,1082,,,,,
Own Configuration,2022-07-01,2023-06-30,3214-31,BATTERY,33,4183,2,0.478125747,3.15456769,0,0,0,0,0,2,100,2092,0,,1082,,,,,
Own Configuration,2022-07-01,2023-06-30,327155-3,VALVE-ANTI ICE,30,1897,1,0.527148129,1.341823614,0,0,0,0,0,1,100,1897,828.8683381,228.8662641,1084,,,,,
Own Configuration,2022-08-01,2023-07-31,327155-3,VALVE-ANTI ICE,30,1947,1,0.513610683,1.275082021,0,0,0,0,0,1,100,1947,846.4375246,230.0228834,1084,,,,,
Own Configuration,2021-11-01,2022-10-31,327155-3,VALVE-ANTI ICE,30,1134,1,0.881834215,1.042556829,0,0,0,0,0,1,100,1134,1134,100,1084,,,,,
Own Configuration,2021-12-01,2022-11-30,327155-3,VALVE-ANTI ICE,30,1230,1,0.81300813,1.29181003,0,0,0,0,0,1,100,1230,995.3238098,123.5778736,1084,,,,,
Own Configuration,2022-01-01,2022-12-31,327155-3,VALVE-ANTI ICE,30,1421,1,0.703729768,1.372768235,0,0,0,0,0,1,100,1421,859.8999174,165.2517893,1084,,,,,
Own Configuration,2022-02-01,2023-01-31,327155-3,VALVE-ANTI ICE,30,1575,1,0.634920635,1.394439004,0,0,0,0,0,1,100,1575,798.4943444,197.2462311,1084,,,,,
Own Configuration,2022-03-01,2023-02-28,327155-3,VALVE-ANTI ICE,30,1693,1,0.590667454,1.391628907,0,0,0,0,0,1,100,1693,771.5441388,219.4300902,1084,,,,,
Own Configuration,2022-04-01,2023-03-31,327155-3,VALVE-ANTI ICE,30,1854,1,0.539374326,1.373308331,0,0,0,0,0,1,100,1854,726.5314527,255.1850981,1084,,,,,
Own Configuration,2022-05-01,2023-04-30,327155-3,VALVE-ANTI ICE,30,1721,1,0.581057525,1.389846453,0,0,0,0,0,1,100,1721,783.9898579,219.5181459,1084,,,,,
Own Configuration,2022-06-01,2023-05-31,327155-3,VALVE-ANTI ICE,30,1848,1,0.541125541,1.378191934,0,0,0,0,0,1,100,1848,807.8820428,228.7462652,1084,,,,,
Own Configuration,2022-08-01,2023-07-31,327155-31,ANTI ICE VALVE,30,1271,1,0.786782061,0.723890864,0,0,0,0,0,1,100,1271,1271,100,1271,,,,,
